ward_number,municipality,district,province
10,Roshi Rural Municipality,Kavrepalanchok,Bagmati
11,Roshi Rural Municipality,Kavrepalanchok,Bagmati
12,Roshi Rural Municipality,Kavrepalanchok,Bagmati
1,Lalitpur Metropolitan City,Lalitpur,Bagmati
2,Lalitpur Metropolitan City,Lalitpur,Bagmati
3,Lalitpur Metropolitan City,Lalitpur,Bagmati
4,Lalitpur Metropolitan City,Lalitpur,Bagmati
5,Lalitpur Metropolitan City,Lalitpur,Bagmati
6,Lalitpur Metropolitan City,Lalitpur,Bagmati
7,Lalitpur Metropolitan City,Lalitpur,Bagmati
8,Lalitpur Metropolitan City,Lalitpur,Bagmati
9,Lalitpur Metropolitan City,Lalitpur,Bagmati
10,Lalitpur Metropolitan City,Lalitpur,Bagmati
11,Lalitpur Metropolitan City,Lalitpur,Bagmati
12,Lalitpur Metropolitan City,Lalitpur,Bagmati
13,Lalitpur Metropolitan City,Lalitpur,Bagmati
14,Lalitpur Metropolitan City,Lalitpur,Bagmati
15,Lalitpur Metropolitan City,Lalitpur,Bagmati
16,Lalitpur Metropolitan City,Lalitpur,Bagmati
17,Lalitpur Metropolitan City,Lalitpur,Bagmati
18,Lalitpur Metropolitan City,Lalitpur,Bagmati
19,Lalitpur Metropolitan City,Lalitpur,Bagmati
20,Lalitpur Metropolitan City,Lalitpur,Bagmati
21,Lalitpur Metropolitan City,Lalitpur,Bagmati
22,Lalitpur Metropolitan City,Lalitpur,Bagmati
23,Lalitpur Metropolitan City,Lalitpur,Bagmati
24,Lalitpur Metropolitan City,Lalitpur,Bagmati
25,Lalitpur Metropolitan City,Lalitpur,Bagmati
26,Lalitpur Metropolitan City,Lalitpur,Bagmati
27,Lalitpur Metropolitan City,Lalitpur,Bagmati
28,Lalitpur Metropolitan City,Lalitpur,Bagmati
29,Lalitpur Metropolitan City,Lalitpur,Bagmati
1,Mahalaxmi Municipality,Lalitpur,Bagmati
2,Mahalaxmi Municipality,Lalitpur,Bagmati
3,Mahalaxmi Municipality,Lalitpur,Bagmati
4,Mahalaxmi Municipality,Lalitpur,Bagmati
5,Mahalaxmi Municipality,Lalitpur,Bagmati
6,Mahalaxmi Municipality,Lalitpur,Bagmati
7,Mahalaxmi Municipality,Lalitpur,Bagmati
8,Mahalaxmi Municipality,Lalitpur,Bagmati
9,Mahalaxmi Municipality,Lalitpur,Bagmati
10,Mahalaxmi Municipality,Lalitpur,Bagmati
1,Godawari Municipality,Lalitpur,Bagmati
2,Godawari Municipality,Lalitpur,Bagmati
3,Godawari Municipality,Lalitpur,Bagmati
4,Godawari Municipality,Lalitpur,Bagmati
5,Godawari Municipality,Lalitpur,Bagmati
6,Godawari Municipality,Lalitpur,Bagmati
7,Godawari Municipality,Lalitpur,Bagmati
8,Godawari Municipality,Lalitpur,Bagmati
9,Godawari Municipality,Lalitpur,Bagmati
10,Godawari Municipality,Lalitpur,Bagmati
11,Godawari Municipality,Lalitpur,Bagmati
12,Godawari Municipality,Lalitpur,Bagmati
13,Godawari Municipality,Lalitpur,Bagmati
14,Godawari Municipality,Lalitpur,Bagmati
1,Konjyosom Rural Municipality,Lalitpur,Bagmati
2,Konjyosom Rural Municipality,Lalitpur,Bagmati
3,Konjyosom Rural Municipality,Lalitpur,Bagmati
4,Konjyosom Rural Municipality,Lalitpur,Bagmati
5,Konjyosom Rural Municipality,Lalitpur,Bagmati
1,Bagmati Rural Municipality,Lalitpur,Bagmati
2,Bagmati Rural Municipality,Lalitpur,Bagmati
3,Bagmati Rural Municipality,Lalitpur,Bagmati
4,Bagmati Rural Municipality,Lalitpur,Bagmati
5,Bagmati Rural Municipality,Lalitpur,Bagmati
6,Bagmati Rural Municipality,Lalitpur,Bagmati
7,Bagmati Rural Municipality,Lalitpur,Bagmati
1,Mahankal Rural Municipality,Lalitpur,Bagmati
2,Mahankal Rural Municipality,Lalitpur,Bagmati
3,Mahankal Rural Municipality,Lalitpur,Bagmati
4,Mahankal Rural Municipality,Lalitpur,Bagmati
5,Mahankal Rural Municipality,Lalitpur,Bagmati
6,Mahankal Rural Municipality,Lalitpur,Bagmati
1,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
2,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
3,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
4,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
5,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
6,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
7,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
8,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
9,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
10,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
11,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
12,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
13,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
14,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
15,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
16,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
17,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
18,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
19,Hetauda Sub-Metropolitan City,Makwanpur,Bagmati
1,Thaha Municipality,Makwanpur,Bagmati
2,Thaha Municipality,Makwanpur,Bagmati
3,Thaha Municipality,Makwanpur,Bagmati
4,Thaha Municipality,Makwanpur,Bagmati
5,Thaha Municipality,Makwanpur,Bagmati
6,Thaha Municipality,Makwanpur,Bagmati
7,Thaha Municipality,Makwanpur,Bagmati
8,Thaha Municipality,Makwanpur,Bagmati
9,Thaha Municipality,Makwanpur,Bagmati
10,Thaha Municipality,Makwanpur,Bagmati
11,Thaha Municipality,Makwanpur,Bagmati
12,Thaha Municipality,Makwanpur,Bagmati
1,Bhimphedi Rural Municipality,Makwanpur,Bagmati
2,Bhimphedi Rural Municipality,Makwanpur,Bagmati
3,Bhimphedi Rural Municipality,Makwanpur,Bagmati
4,Bhimphedi Rural Municipality,Makwanpur,Bagmati
5,Bhimphedi Rural Municipality,Makwanpur,Bagmati
6,Bhimphedi Rural Municipality,Makwanpur,Bagmati
7,Bhimphedi Rural Municipality,Makwanpur,Bagmati
8,Bhimphedi Rural Municipality,Makwanpur,Bagmati
9,Bhimphedi Rural Municipality,Makwanpur,Bagmati
1,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
2,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
3,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
4,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
5,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
6,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
7,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
8,Makawanpurgadhi Rural Municipality,Makwanpur,Bagmati
1,Manahari Rural Municipality,Makwanpur,Bagmati
2,Manahari Rural Municipality,Makwanpur,Bagmati
3,Manahari Rural Municipality,Makwanpur,Bagmati
4,Manahari Rural Municipality,Makwanpur,Bagmati
5,Manahari Rural Municipality,Makwanpur,Bagmati
6,Manahari Rural Municipality,Makwanpur,Bagmati
7,Manahari Rural Municipality,Makwanpur,Bagmati
8,Manahari Rural Municipality,Makwanpur,Bagmati
9,Manahari Rural Municipality,Makwanpur,Bagmati
1,Raksirang Rural Municipality,Makwanpur,Bagmati
2,Raksirang Rural Municipality,Makwanpur,Bagmati
3,Raksirang Rural Municipality,Makwanpur,Bagmati
4,Raksirang Rural Municipality,Makwanpur,Bagmati
5,Raksirang Rural Municipality,Makwanpur,Bagmati
6,Raksirang Rural Municipality,Makwanpur,Bagmati
7,Raksirang Rural Municipality,Makwanpur,Bagmati
8,Raksirang Rural Municipality,Makwanpur,Bagmati
9,Raksirang Rural Municipality,Makwanpur,Bagmati
1,Bakaiya Rural Municipality,Makwanpur,Bagmati
2,Bakaiya Rural Municipality,Makwanpur,Bagmati
3,Bakaiya Rural Municipality,Makwanpur,Bagmati
4,Bakaiya Rural Municipality,Makwanpur,Bagmati
5,Bakaiya Rural Municipality,Makwanpur,Bagmati
6,Bakaiya Rural Municipality,Makwanpur,Bagmati
7,Bakaiya Rural Municipality,Makwanpur,Bagmati
8,Bakaiya Rural Municipality,Makwanpur,Bagmati
9,Bakaiya Rural Municipality,Makwanpur,Bagmati
10,Bakaiya Rural Municipality,Makwanpur,Bagmati
11,Bakaiya Rural Municipality,Makwanpur,Bagmati
12,Bakaiya Rural Municipality,Makwanpur,Bagmati
1,Bagmati Rural Municipality,Makwanpur,Bagmati
2,Bagmati Rural Municipality,Makwanpur,Bagmati
3,Bagmati Rural Municipality,Makwanpur,Bagmati
4,Bagmati Rural Municipality,Makwanpur,Bagmati
5,Bagmati Rural Municipality,Makwanpur,Bagmati
6,Bagmati Rural Municipality,Makwanpur,Bagmati
7,Bagmati Rural Municipality,Makwanpur,Bagmati
8,Bagmati Rural Municipality,Makwanpur,Bagmati
9,Bagmati Rural Municipality,Makwanpur,Bagmati
1,Kailash Rural Municipality,Makwanpur,Bagmati
2,Kailash Rural Municipality,Makwanpur,Bagmati
3,Kailash Rural Municipality,Makwanpur,Bagmati
4,Kailash Rural Municipality,Makwanpur,Bagmati
5,Kailash Rural Municipality,Makwanpur,Bagmati
6,Kailash Rural Municipality,Makwanpur,Bagmati
7,Kailash Rural Municipality,Makwanpur,Bagmati
8,Kailash Rural Municipality,Makwanpur,Bagmati
9,Kailash Rural Municipality,Makwanpur,Bagmati
10,Kailash Rural Municipality,Makwanpur,Bagmati
1,Indrasarowar Rural Municipality,Makwanpur,Bagmati
2,Indrasarowar Rural Municipality,Makwanpur,Bagmati
3,Indrasarowar Rural Municipality,Makwanpur,Bagmati
4,Indrasarowar Rural Municipality,Makwanpur,Bagmati
5,Indrasarowar Rural Municipality,Makwanpur,Bagmati
1,Bidur Municipality,Nuwakot,Bagmati
2,Bidur Municipality,Nuwakot,Bagmati
3,Bidur Municipality,Nuwakot,Bagmati
4,Bidur Municipality,Nuwakot,Bagmati
5,Bidur Municipality,Nuwakot,Bagmati
6,Bidur Municipality,Nuwakot,Bagmati
7,Bidur Municipality,Nuwakot,Bagmati
8,Bidur Municipality,Nuwakot,Bagmati
9,Bidur Municipality,Nuwakot,Bagmati
10,Bidur Municipality,Nuwakot,Bagmati
11,Bidur Municipality,Nuwakot,Bagmati
12,Bidur Municipality,Nuwakot,Bagmati
13,Bidur Municipality,Nuwakot,Bagmati
1,Belkotgadhi Municipality,Nuwakot,Bagmati
2,Belkotgadhi Municipality,Nuwakot,Bagmati
3,Belkotgadhi Municipality,Nuwakot,Bagmati
4,Belkotgadhi Municipality,Nuwakot,Bagmati
5,Belkotgadhi Municipality,Nuwakot,Bagmati
6,Belkotgadhi Municipality,Nuwakot,Bagmati
7,Belkotgadhi Municipality,Nuwakot,Bagmati
8,Belkotgadhi Municipality,Nuwakot,Bagmati
9,Belkotgadhi Municipality,Nuwakot,Bagmati
10,Belkotgadhi Municipality,Nuwakot,Bagmati
11,Belkotgadhi Municipality,Nuwakot,Bagmati
12,Belkotgadhi Municipality,Nuwakot,Bagmati
13,Belkotgadhi Municipality,Nuwakot,Bagmati
1,Kakani Rural Municipality,Nuwakot,Bagmati
2,Kakani Rural Municipality,Nuwakot,Bagmati
3,Kakani Rural Municipality,Nuwakot,Bagmati
4,Kakani Rural Municipality,Nuwakot,Bagmati
5,Kakani Rural Municipality,Nuwakot,Bagmati
6,Kakani Rural Municipality,Nuwakot,Bagmati
7,Kakani Rural Municipality,Nuwakot,Bagmati
8,Kakani Rural Municipality,Nuwakot,Bagmati
1,Panchakanya Rural Municipality,Nuwakot,Bagmati
2,Panchakanya Rural Municipality,Nuwakot,Bagmati
3,Panchakanya Rural Municipality,Nuwakot,Bagmati
4,Panchakanya Rural Municipality,Nuwakot,Bagmati
5,Panchakanya Rural Municipality,Nuwakot,Bagmati
1,Likhu Rural Municipality,Nuwakot,Bagmati
2,Likhu Rural Municipality,Nuwakot,Bagmati
3,Likhu Rural Municipality,Nuwakot,Bagmati
4,Likhu Rural Municipality,Nuwakot,Bagmati
5,Likhu Rural Municipality,Nuwakot,Bagmati
6,Likhu Rural Municipality,Nuwakot,Bagmati
1,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
2,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
3,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
4,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
5,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
6,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
7,Dupcheshwar Rural Municipality,Nuwakot,Bagmati
1,Shivapuri Rural Municipality,Nuwakot,Bagmati
2,Shivapuri Rural Municipality,Nuwakot,Bagmati
3,Shivapuri Rural Municipality,Nuwakot,Bagmati
4,Shivapuri Rural Municipality,Nuwakot,Bagmati
5,Shivapuri Rural Municipality,Nuwakot,Bagmati
6,Shivapuri Rural Municipality,Nuwakot,Bagmati
7,Shivapuri Rural Municipality,Nuwakot,Bagmati
8,Shivapuri Rural Municipality,Nuwakot,Bagmati
1,Tadi Rural Municipality,Nuwakot,Bagmati
2,Tadi Rural Municipality,Nuwakot,Bagmati
3,Tadi Rural Municipality,Nuwakot,Bagmati
4,Tadi Rural Municipality,Nuwakot,Bagmati
5,Tadi Rural Municipality,Nuwakot,Bagmati
6,Tadi Rural Municipality,Nuwakot,Bagmati
1,Suryagadhi Rural Municipality,Nuwakot,Bagmati
2,Suryagadhi Rural Municipality,Nuwakot,Bagmati
3,Suryagadhi Rural Municipality,Nuwakot,Bagmati
4,Suryagadhi Rural Municipality,Nuwakot,Bagmati
5,Suryagadhi Rural Municipality,Nuwakot,Bagmati
1,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
2,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
3,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
4,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
5,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
6,Tarkeshwar Rural Municipality,Nuwakot,Bagmati
1,Kispang Rural Municipality,Nuwakot,Bagmati
2,Kispang Rural Municipality,Nuwakot,Bagmati
3,Kispang Rural Municipality,Nuwakot,Bagmati
4,Kispang Rural Municipality,Nuwakot,Bagmati
5,Kispang Rural Municipality,Nuwakot,Bagmati
1,Myagang Rural Municipality,Nuwakot,Bagmati
2,Myagang Rural Municipality,Nuwakot,Bagmati
3,Myagang Rural Municipality,Nuwakot,Bagmati
4,Myagang Rural Municipality,Nuwakot,Bagmati
5,Myagang Rural Municipality,Nuwakot,Bagmati
6,Myagang Rural Municipality,Nuwakot,Bagmati
1,Manthali Municipality,Ramechap,Bagmati
2,Manthali Municipality,Ramechap,Bagmati
3,Manthali Municipality,Ramechap,Bagmati
4,Manthali Municipality,Ramechap,Bagmati
5,Manthali Municipality,Ramechap,Bagmati
6,Manthali Municipality,Ramechap,Bagmati
7,Manthali Municipality,Ramechap,Bagmati
8,Manthali Municipality,Ramechap,Bagmati
9,Manthali Municipality,Ramechap,Bagmati
10,Manthali Municipality,Ramechap,Bagmati
11,Manthali Municipality,Ramechap,Bagmati
12,Manthali Municipality,Ramechap,Bagmati
13,Manthali Municipality,Ramechap,Bagmati
14,Manthali Municipality,Ramechap,Bagmati
1,Ramechhap Municipality,Ramechap,Bagmati
2,Ramechhap Municipality,Ramechap,Bagmati
3,Ramechhap Municipality,Ramechap,Bagmati
4,Ramechhap Municipality,Ramechap,Bagmati
5,Ramechhap Municipality,Ramechap,Bagmati
6,Ramechhap Municipality,Ramechap,Bagmati
7,Ramechhap Municipality,Ramechap,Bagmati
8,Ramechhap Municipality,Ramechap,Bagmati
9,Ramechhap Municipality,Ramechap,Bagmati
1,Umakunda Rural Municipality,Ramechap,Bagmati
2,Umakunda Rural Municipality,Ramechap,Bagmati
3,Umakunda Rural Municipality,Ramechap,Bagmati
4,Umakunda Rural Municipality,Ramechap,Bagmati
5,Umakunda Rural Municipality,Ramechap,Bagmati
6,Umakunda Rural Municipality,Ramechap,Bagmati
7,Umakunda Rural Municipality,Ramechap,Bagmati
1,Khandadevi Rural Municipality,Ramechap,Bagmati
2,Khandadevi Rural Municipality,Ramechap,Bagmati
3,Khandadevi Rural Municipality,Ramechap,Bagmati
4,Khandadevi Rural Municipality,Ramechap,Bagmati
5,Khandadevi Rural Municipality,Ramechap,Bagmati
6,Khandadevi Rural Municipality,Ramechap,Bagmati
7,Khandadevi Rural Municipality,Ramechap,Bagmati
8,Khandadevi Rural Municipality,Ramechap,Bagmati
9,Khandadevi Rural Municipality,Ramechap,Bagmati
1,Doramba Rural Municipality,Ramechap,Bagmati
2,Doramba Rural Municipality,Ramechap,Bagmati
3,Doramba Rural Municipality,Ramechap,Bagmati
4,Doramba Rural Municipality,Ramechap,Bagmati
5,Doramba Rural Municipality,Ramechap,Bagmati
6,Doramba Rural Municipality,Ramechap,Bagmati
7,Doramba Rural Municipality,Ramechap,Bagmati
1,Gokulganga Rural Municipality,Ramechap,Bagmati
2,Gokulganga Rural Municipality,Ramechap,Bagmati
3,Gokulganga Rural Municipality,Ramechap,Bagmati
4,Gokulganga Rural Municipality,Ramechap,Bagmati
5,Gokulganga Rural Municipality,Ramechap,Bagmati
6,Gokulganga Rural Municipality,Ramechap,Bagmati
1,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
2,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
3,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
4,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
5,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
6,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
7,LikhuTamakoshi Rural Municipality,Ramechap,Bagmati
1,Sunapati Rural Municipality,Ramechap,Bagmati
2,Sunapati Rural Municipality,Ramechap,Bagmati
3,Sunapati Rural Municipality,Ramechap,Bagmati
4,Sunapati Rural Municipality,Ramechap,Bagmati
5,Sunapati Rural Municipality,Ramechap,Bagmati
1,Kalika Rural Municipality,Rasuwa,Bagmati
2,Kalika Rural Municipality,Rasuwa,Bagmati
3,Kalika Rural Municipality,Rasuwa,Bagmati
4,Kalika Rural Municipality,Rasuwa,Bagmati
5,Kalika Rural Municipality,Rasuwa,Bagmati
1,Gosaikunda Rural Municipality,Rasuwa,Bagmati
2,Gosaikunda Rural Municipality,Rasuwa,Bagmati
3,Gosaikunda Rural Municipality,Rasuwa,Bagmati
4,Gosaikunda Rural Municipality,Rasuwa,Bagmati
5,Gosaikunda Rural Municipality,Rasuwa,Bagmati
6,Gosaikunda Rural Municipality,Rasuwa,Bagmati
1,Naukunda Rural Municipality,Rasuwa,Bagmati
2,Naukunda Rural Municipality,Rasuwa,Bagmati
3,Naukunda Rural Municipality,Rasuwa,Bagmati
4,Naukunda Rural Municipality,Rasuwa,Bagmati
5,Naukunda Rural Municipality,Rasuwa,Bagmati
6,Naukunda Rural Municipality,Rasuwa,Bagmati
1,Parbatikunda Rural Municipality,Rasuwa,Bagmati
2,Parbatikunda Rural Municipality,Rasuwa,Bagmati
3,Parbatikunda Rural Municipality,Rasuwa,Bagmati
4,Parbatikunda Rural Municipality,Rasuwa,Bagmati
5,Parbatikunda Rural Municipality,Rasuwa,Bagmati
1,Uttargaya Rural Municipality,Rasuwa,Bagmati
2,Uttargaya Rural Municipality,Rasuwa,Bagmati
3,Uttargaya Rural Municipality,Rasuwa,Bagmati
4,Uttargaya Rural Municipality,Rasuwa,Bagmati
5,Uttargaya Rural Municipality,Rasuwa,Bagmati
1,Kamalamai Municipality,Sindhuli,Bagmati
2,Kamalamai Municipality,Sindhuli,Bagmati
3,Kamalamai Municipality,Sindhuli,Bagmati
4,Kamalamai Municipality,Sindhuli,Bagmati
5,Kamalamai Municipality,Sindhuli,Bagmati
6,Kamalamai Municipality,Sindhuli,Bagmati
7,Kamalamai Municipality,Sindhuli,Bagmati
8,Kamalamai Municipality,Sindhuli,Bagmati
9,Kamalamai Municipality,Sindhuli,Bagmati
10,Kamalamai Municipality,Sindhuli,Bagmati
11,Kamalamai Municipality,Sindhuli,Bagmati
12,Kamalamai Municipality,Sindhuli,Bagmati
13,Kamalamai Municipality,Sindhuli,Bagmati
14,Kamalamai Municipality,Sindhuli,Bagmati
1,Dudhauli Municipality,Sindhuli,Bagmati
2,Dudhauli Municipality,Sindhuli,Bagmati
3,Dudhauli Municipality,Sindhuli,Bagmati
4,Dudhauli Municipality,Sindhuli,Bagmati
5,Dudhauli Municipality,Sindhuli,Bagmati
6,Dudhauli Municipality,Sindhuli,Bagmati
7,Dudhauli Municipality,Sindhuli,Bagmati
8,Dudhauli Municipality,Sindhuli,Bagmati
9,Dudhauli Municipality,Sindhuli,Bagmati
10,Dudhauli Municipality,Sindhuli,Bagmati
11,Dudhauli Municipality,Sindhuli,Bagmati
12,Dudhauli Municipality,Sindhuli,Bagmati
13,Dudhauli Municipality,Sindhuli,Bagmati
14,Dudhauli Municipality,Sindhuli,Bagmati
1,Sunkoshi Rural Municipality,Sindhuli,Bagmati
2,Sunkoshi Rural Municipality,Sindhuli,Bagmati
3,Sunkoshi Rural Municipality,Sindhuli,Bagmati
4,Sunkoshi Rural Municipality,Sindhuli,Bagmati
5,Sunkoshi Rural Municipality,Sindhuli,Bagmati
6,Sunkoshi Rural Municipality,Sindhuli,Bagmati
7,Sunkoshi Rural Municipality,Sindhuli,Bagmati
1,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
2,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
3,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
4,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
5,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
6,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
7,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
8,Hariharpurgadhi Rural Municipality,Sindhuli,Bagmati
1,Tinpatan Rural Municipality,Sindhuli,Bagmati
2,Tinpatan Rural Municipality,Sindhuli,Bagmati
3,Tinpatan Rural Municipality,Sindhuli,Bagmati
4,Tinpatan Rural Municipality,Sindhuli,Bagmati
5,Tinpatan Rural Municipality,Sindhuli,Bagmati
6,Tinpatan Rural Municipality,Sindhuli,Bagmati
7,Tinpatan Rural Municipality,Sindhuli,Bagmati
8,Tinpatan Rural Municipality,Sindhuli,Bagmati
9,Tinpatan Rural Municipality,Sindhuli,Bagmati
10,Tinpatan Rural Municipality,Sindhuli,Bagmati
11,Tinpatan Rural Municipality,Sindhuli,Bagmati
1,Marin Rural Municipality,Sindhuli,Bagmati
2,Marin Rural Municipality,Sindhuli,Bagmati
3,Marin Rural Municipality,Sindhuli,Bagmati
4,Marin Rural Municipality,Sindhuli,Bagmati
5,Marin Rural Municipality,Sindhuli,Bagmati
6,Marin Rural Municipality,Sindhuli,Bagmati
7,Marin Rural Municipality,Sindhuli,Bagmati
1,Golanjor Rural Municipality,Sindhuli,Bagmati
2,Golanjor Rural Municipality,Sindhuli,Bagmati
3,Golanjor Rural Municipality,Sindhuli,Bagmati
4,Golanjor Rural Municipality,Sindhuli,Bagmati
5,Golanjor Rural Municipality,Sindhuli,Bagmati
6,Golanjor Rural Municipality,Sindhuli,Bagmati
7,Golanjor Rural Municipality,Sindhuli,Bagmati
1,Phikkal Rural Municipality,Sindhuli,Bagmati
2,Phikkal Rural Municipality,Sindhuli,Bagmati
3,Phikkal Rural Municipality,Sindhuli,Bagmati
4,Phikkal Rural Municipality,Sindhuli,Bagmati
5,Phikkal Rural Municipality,Sindhuli,Bagmati
6,Phikkal Rural Municipality,Sindhuli,Bagmati
1,Ghyanglekh Rural Municipality,Sindhuli,Bagmati
2,Ghyanglekh Rural Municipality,Sindhuli,Bagmati
3,Ghyanglekh Rural Municipality,Sindhuli,Bagmati
4,Ghyanglekh Rural Municipality,Sindhuli,Bagmati
5,Ghyanglekh Rural Municipality,Sindhuli,Bagmati
1,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
2,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
3,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
4,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
5,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
6,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
7,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
8,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
9,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
10,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
11,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
12,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
13,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
14,Chautara Sangachowkgadi Municipality,Sindhupalchok,Bagmati
1,Bahrabise Municipality,Sindhupalchok,Bagmati
2,Bahrabise Municipality,Sindhupalchok,Bagmati
3,Bahrabise Municipality,Sindhupalchok,Bagmati
4,Bahrabise Municipality,Sindhupalchok,Bagmati
5,Bahrabise Municipality,Sindhupalchok,Bagmati
6,Bahrabise Municipality,Sindhupalchok,Bagmati
7,Bahrabise Municipality,Sindhupalchok,Bagmati
8,Bahrabise Municipality,Sindhupalchok,Bagmati
9,Bahrabise Municipality,Sindhupalchok,Bagmati
1,Melamchi Municipality,Sindhupalchok,Bagmati
2,Melamchi Municipality,Sindhupalchok,Bagmati
3,Melamchi Municipality,Sindhupalchok,Bagmati
4,Melamchi Municipality,Sindhupalchok,Bagmati
5,Melamchi Municipality,Sindhupalchok,Bagmati
6,Melamchi Municipality,Sindhupalchok,Bagmati
7,Melamchi Municipality,Sindhupalchok,Bagmati
8,Melamchi Municipality,Sindhupalchok,Bagmati
9,Melamchi Municipality,Sindhupalchok,Bagmati
10,Melamchi Municipality,Sindhupalchok,Bagmati
11,Melamchi Municipality,Sindhupalchok,Bagmati
12,Melamchi Municipality,Sindhupalchok,Bagmati
13,Melamchi Municipality,Sindhupalchok,Bagmati
1,Balephi Rural Municipality,Sindhupalchok,Bagmati
2,Balephi Rural Municipality,Sindhupalchok,Bagmati
3,Balephi Rural Municipality,Sindhupalchok,Bagmati
4,Balephi Rural Municipality,Sindhupalchok,Bagmati
5,Balephi Rural Municipality,Sindhupalchok,Bagmati
6,Balephi Rural Municipality,Sindhupalchok,Bagmati
7,Balephi Rural Municipality,Sindhupalchok,Bagmati
8,Balephi Rural Municipality,Sindhupalchok,Bagmati
1,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
2,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
3,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
4,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
5,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
6,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
7,Sunkoshi Rural Municipality,Sindhupalchok,Bagmati
1,Indrawati Rural Municipality,Sindhupalchok,Bagmati
2,Indrawati Rural Municipality,Sindhupalchok,Bagmati
3,Indrawati Rural Municipality,Sindhupalchok,Bagmati
4,Indrawati Rural Municipality,Sindhupalchok,Bagmati
5,Indrawati Rural Municipality,Sindhupalchok,Bagmati
6,Indrawati Rural Municipality,Sindhupalchok,Bagmati
7,Indrawati Rural Municipality,Sindhupalchok,Bagmati
8,Indrawati Rural Municipality,Sindhupalchok,Bagmati
9,Indrawati Rural Municipality,Sindhupalchok,Bagmati
